IdPersona,TotalVisitas,DiasActivo,TiempoActivoDias,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,tasa_caida_visitas,DuracionMediaTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,StdDiasEntreVisitas,FrecuenciaModal,MaxRachaSinVisita,MaxRachaConVisita,SemanasConVisitaRatio,HoraMediaAcceso,PropVisitasFinDeSemana,PropVisitasFestivo,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano,TieneAccesos
9722,11,10,204,2,5,7,0.45454545454545453,187,0.8333333333333334,63.692424242424245,59.256666666666675,-0.0696434093774531,21.21885953579975,8.0,77.0,1,0.3333333333333333,15.531818181818183,0.36363636363636365,0.0,6,5,False,False,False,False,False,False,True,False,True,False,False,True
9759,50,47,338,3,7,21,0.14,70,0.3333333333333333,93.751,111.41190476190478,0.18838097472992046,8.437634105865012,2.0,39.0,2,0.5918367346938775,13.153333333333334,0.02,0.0,21,7,False,False,False,True,False,False,False,False,True,False,False,True
9838,67,67,360,12,19,22,0.2835820895522388,49,0.5588235294117647,76.45124378109452,77.43684210526315,0.012891854670026457,16.070094395624984,2.0,119.0,4,0.5192307692307693,9.618159203980099,0.3582089552238806,0.05970149253731343,34,19,False,False,False,False,False,True,False,False,True,False,False,True
9957,37,37,357,5,15,21,0.40540540540540543,48,1.875,65.54684684684685,63.282222222222224,-0.03454971113890529,6.925696916396051,7.0,32.0,2,0.6153846153846154,13.655405405405407,0.02702702702702703,0.05405405405405406,8,15,False,False,False,False,False,False,True,False,False,False,True,True
10138,92,89,359,2,17,47,0.18478260869565216,50,0.7083333333333334,147.49637681159422,154.57352941176467,0.047981874220615686,6.01894926641738,2.0,40.0,4,0.6923076923076923,8.593478260869565,0.021739130434782608,0.010869565217391304,24,17,False,False,False,False,True,False,False,False,False,True,False,True
10247,44,44,336,2,14,14,0.3181818181818182,73,0.8235294117647058,194.3325757575757,244.59523809523816,0.25864249543197365,20.709795248955277,1.0,131.0,3,0.4489795918367347,11.006060606060606,0.36363636363636365,0.11363636363636363,17,14,False,False,False,False,False,True,False,False,True,False,False,True
10389,1,1,1,1,1,1,1.0,386,1.0,107.63333333333334,107.63333333333334,0.0,0.0,1.0,0.0,1,1.0,12.066666666666666,0.0,0.0,1,1,False,False,False,False,True,False,False,False,True,False,False,True
10394,59,58,364,2,11,23,0.1864406779661017,46,0.5238095238095238,61.2319209039548,67.26060606060605,0.09845657408180172,6.274725171748563,3.0,35.0,2,0.6792452830188679,12.673446327683614,0.3050847457627119,0.06779661016949153,21,11,False,False,False,True,False,False,False,False,True,False,False,True
10878,8,8,101,2,5,8,0.625,141,0.7142857142857143,62.61666666666666,60.39,-0.03556028746340154,11.499778169998919,1.0,34.0,2,0.4,11.052083333333334,0.5,0.0,7,5,True,False,False,False,False,False,False,False,False,True,False,True
10932,41,41,348,5,5,25,0.12195121951219512,58,2.5,109.40569105691058,106.55,-0.026101851094977455,18.520529150107993,3.0,96.0,3,0.48,8.086178861788618,0.12195121951219512,0.0,2,5,False,False,False,False,False,False,True,True,False,False,False,True
11032,68,65,359,17,18,35,0.2647058823529412,49,1.0,130.07622549019604,99.59074074074074,-0.23436630817484025,10.867865122209913,1.0,62.0,3,0.5384615384615384,11.400980392156864,0.11764705882352941,0.014705882352941176,18,18,False,False,False,True,False,False,False,False,True,False,False,True
11223,32,32,361,3,4,17,0.125,45,0.5,207.73385416666667,191.00416666666666,-0.08053423726773797,9.337915727574101,7.0,49.0,1,0.5384615384615384,12.721354166666666,0.03125,0.0,8,4,False,True,False,False,False,False,False,False,False,True,False,True
11514,3,3,13,3,3,3,1.0,205,1.0,54.6,54.6,0.0,0.5,6.0,7.0,1,1.5,12.233333333333333,0.0,0.0,3,3,False,False,False,True,False,False,False,False,False,True,False,True
11560,27,27,336,5,9,16,0.3333333333333333,69,1.0,62.648148148148145,62.61666666666666,-0.00050251256281413,11.681422058198871,7.0,63.0,1,0.5306122448979592,9.311111111111112,0.0,0.0,9,9,False,False,False,False,False,False,True,False,True,False,False,True
11641,42,42,364,18,19,23,0.4523809523809524,45,6.333333333333333,61.26150793650794,61.00701754385967,-0.004154164682201885,23.274811174682654,1.0,94.0,5,0.2830188679245283,7.003968253968253,0.0,0.023809523809523808,3,19,False,False,True,False,False,False,False,False,False,False,True,True
11703,78,77,307,2,13,21,0.16666666666666666,101,0.2549019607843137,104.42029914529913,110.66666666666667,0.059819475451567405,10.466388387736632,1.0,62.0,12,0.5,12.0732905982906,0.2692307692307692,0.05128205128205128,51,13,False,False,False,True,False,False,False,False,True,False,False,True
11714,29,29,364,2,5,20,0.1724137931034483,45,5.0,85.39597701149427,104.48333333333332,0.22351587264198525,21.452605569354173,1.0,92.0,5,0.24528301886792453,13.52471264367816,0.27586206896551724,0.06896551724137931,1,5,False,False,False,False,False,True,False,False,False,True,False,True
11780,9,9,284,1,2,4,0.2222222222222222,108,0.4,67.87407407407407,63.88333333333333,-0.058796245771035684,31.89043743820395,2.0,83.0,1,0.1951219512195122,10.596296296296297,0.2222222222222222,0.0,5,2,False,False,True,False,False,False,False,True,False,False,False,True
12262,67,67,347,4,11,33,0.16417910447761194,58,0.6111111111111112,164.89278606965175,151.24090909090907,-0.08279244534673602,6.783023831954806,1.0,35.0,3,0.68,9.951741293532336,0.16417910447761194,0.05970149253731343,18,11,False,False,True,False,False,False,False,False,False,True,False,True
12263,36,36,269,7,14,25,0.3888888888888889,134,1.2727272727272727,67.04074074074074,64.975,-0.030813214739517297,10.468378039386533,2.0,63.0,2,0.6410256410256411,10.833333333333334,0.1111111111111111,0.027777777777777776,11,14,False,False,False,False,True,False,False,False,False,True,False,True
12357,60,58,364,7,20,24,0.3333333333333333,45,0.9090909090909091,57.041388888888896,56.77583333333333,-0.004655488948083673,12.154586973123207,1.0,80.0,5,0.49056603773584906,13.134722222222221,0.15,0.016666666666666666,22,20,False,False,True,False,False,False,False,False,True,False,False,True
12434,37,37,343,8,9,19,0.24324324324324326,45,0.75,75.42927927927926,99.50555555555555,0.3191900612908301,13.081976811015627,1.0,70.0,3,0.5,18.41351351351351,0.05405405405405406,0.02702702702702703,12,9,False,False,False,True,False,False,False,False,True,False,False,True
12543,63,63,354,19,31,38,0.49206349206349204,48,1.9375,83.8174603174603,81.20913978494623,-0.031119059473229144,10.975613873307575,1.0,62.0,5,0.49019607843137253,8.160582010582011,0.12698412698412698,0.047619047619047616,16,31,False,False,False,True,False,False,False,False,False,False,True,True
12555,7,7,338,3,3,6,0.42857142857142855,64,3.0,68.9047619047619,67.93333333333334,-0.014098134070490518,88.4904263497219,1.0,241.0,2,0.10204081632653061,12.095238095238097,0.14285714285714285,0.0,1,3,False,False,True,False,False,False,False,False,False,True,False,True
12598,16,16,348,5,11,13,0.6875,56,11.0,125.30208333333333,116.06363636363636,-0.07372939638298352,38.64229116740707,1.0,119.0,2,0.22,13.475000000000001,0.25,0.0625,1,11,False,False,False,False,True,False,False,False,False,False,True,True
12830,20,20,294,6,12,17,0.6,97,4.0,59.0475,58.70972222222222,-0.005720441640675403,27.42524465380992,7.0,112.0,2,0.3488372093023256,8.703333333333333,0.0,0.0,3,12,False,False,False,False,False,False,True,False,False,False,True,True
12980,37,35,363,5,5,7,0.13513513513513514,45,0.3125,291.8540540540541,548.1533333333334,0.8781761833324074,24.360002508666177,1.0,112.0,4,0.3269230769230769,12.491441441441442,0.10810810810810811,0.0,16,5,False,False,False,False,True,False,False,False,True,False,False,True
13118,69,68,363,11,24,52,0.34782608695652173,47,2.1818181818181817,116.17222222222223,128.56527777777777,0.10667830328535202,13.897323371275963,2.0,106.0,4,0.4807692307692308,14.914251207729468,0.2608695652173913,0.057971014492753624,11,24,False,False,True,False,False,False,False,False,False,True,False,True
13138,63,63,358,8,29,48,0.4603174603174603,47,4.833333333333333,68.84708994708994,74.35977011494253,0.08007136063541936,9.0347346835006,3.0,34.0,2,0.5,8.833597883597886,0.1111111111111111,0.031746031746031744,6,29,False,True,False,False,False,False,False,False,False,False,True,True
13180,92,92,317,15,19,66,0.20652173913043478,48,1.9,93.06304347826087,75.6578947368421,-0.18702535497331482,8.994946856598155,1.0,70.0,5,0.6521739130434783,18.707971014492756,0.021739130434782608,0.0,10,19,False,False,False,False,True,False,False,False,False,True,False,True
