IdPersona,NumPagosEconomia,MediaIntervaloMeses,StdIntervaloMeses,UltimoPagoMesEconomia,PrimerPagoMesEconomia,MesesConPagoEconomia,PorcentajeMesesPagados,TotalPagadoEconomia,media_pagoEconomia,StdPagoEconomia,CoefVarPagoEconomia,PctPagoMetalico,PctPagoRecibo,PctPagoTarjeta,PctPagoTransferencia,NumAbonosDistintos,AbonoMasRecuente,TienePagos
113422,7,1.011111111111111,0.0403686713879666,4,10,7,0.5384615384615384,324.7,46.385714285714286,0.6414269805898163,0.013828114764794315,0.0,1.0,0.0,0.0,1,JO00 - QUOTA DESCOMPTE JOVE (DE 18 A 25 ANYS),True
113431,12,1.0151515151515151,0.031139957766460953,9,10,12,0.9230769230769231,356.31000000000006,29.692500000000006,0.5201070693966433,0.017516445883527597,0.08091268838932389,0.0,0.919087311610676,0.0,1,AT01 -  ATUR TOTAL,True
113433,6,1.0066666666666666,0.043461349368017696,3,10,6,0.46153846153846156,352.79999999999995,58.79999999999999,1.2597618822618843,0.02142452180717491,0.0,1.0,0.0,0.0,1,AA00 - ADULTS ( 26 A 64 ANYS ),True
113434,10,1.011111111111111,0.033333333333333375,7,10,10,0.7692307692307693,423.45,42.345,17.487701233851304,0.41298149093992925,0.0,1.0,0.0,0.0,2,MA00 - ADULTS MATINS ( DE 7 A 16 MES CAPS DE SETMANA),True
113439,12,1.0151515151515151,0.031139957766460953,9,10,12,0.9230769230769231,712.5000000000001,59.37500000000001,1.0402141387932866,0.017519396021781666,0.0,1.0,0.0,0.0,1,AA00 - ADULTS ( 26 A 64 ANYS ),True
113440,8,1.0095238095238095,0.037089909350945825,5,10,8,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FAMILIAR (PARES MES ELS MENORS DE 18 ANYS),True
113442,2,1.0333333333333334,0.0,11,10,2,0.15384615384615385,89.1,44.55,0.0,0.0,0.0,1.0,0.0,0.0,1,AC00 - COMERCIANTS (DE 7 A 9 I DE 13 A 17 MES CAPS DE SETMANA),True
113444,12,1.0151515151515151,0.031139957766460953,9,10,12,0.9230769230769231,559.1999999999999,46.599999999999994,0.5427204202399726,0.011646360949355635,0.0,1.0,0.0,0.0,1,JO00 - QUOTA DESCOMPTE JOVE (DE 18 A 25 ANYS),True
113446,7,1.0055555555555555,0.03896817314833378,8,2,7,0.5384615384615384,229.95,32.85,0.0,0.0,0.0,1.0,0.0,0.0,1,AM00 - INFANTIL (DE 6 A 17 ANYS),True
113449,6,1.02,0.018257418583505595,9,4,6,0.46153846153846156,243.88,40.64666666666667,10.131557958510955,0.24925925763107154,0.0,0.9038461538461539,0.09615384615384616,0.0,1,JO00 - QUOTA DESCOMPTE JOVE (DE 18 A 25 ANYS),True
