IdPersona,TotalVisitas,DiasActivo,VisitasPorSemana,VisitasPorMes,MaxVisitasDia,VarVisitasMes,DuracionMediaTotal,DuracionStdTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,PropVisitasLargas,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,DiasHastaPrimera,StdDiasEntreVisitas,FrecuenciaModal,SemanasConVisita,SemanasTotales,SemanasConUnaVisita,MaxRachaSinVisita,MaxRachaConVisita,HoraMediaAcceso,HoraStdAcceso,VarDiasSemana,PropFindesemana,PropPrimavera,PropVerano,PropOtono,PropInvierno,VisitasFestivos,PropVisitasFestivos,VisitasFindesemana,PropVisitasFindesemana,VisitasCerrado,PropVisitasCerrado,VisitasRed9a14,PropVisitasRed9a14,VisitasRed7a20,PropVisitasRed7a20,VisitasRed7a15,PropVisitasRed7a15,PrimeraVisita,UltimaVisita,TiempoActivoDias,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano
111940,33,33,0.6695652173913044,2.6902173913043477,1,33.839999999999996,183.7767676767677,149.50537364864664,114.42839506172838,-0.37735113905698564,0.9696969696969697,17,27,27,0.8181818181818182,37,24,39.242783970432065,1.0,10,49,2,225.0,5,9.834848484848486,2.420059838827917,4.204081632653061,0.15151515151515152,0.0,0.8181818181818182,0.15151515151515152,0.030303030303030304,1,0.030303030303030304,5,0.15151515151515152,0,0.0,1,0.030303030303030304,0,0.0,0,0.0,2024-09-25,2025-08-29,338,6,27,False,False,False,True,False,False,False,False,False,False,True
111943,1,1,1.0,1.0,1,0.0,66.41666666666667,0.0,66.41666666666667,0.0,1.0,1,1,1,1.0,115,284,0.0,1.0,1,1,1,46.0,1,18.233333333333334,0.0,0.12244897959183676,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-06-12,2025-06-12,0,1,1,False,True,False,False,False,False,False,False,False,False,True
111944,65,60,1.2465753424657533,5.025773195876289,2,16.44628099173553,223.14615384615385,153.18439627777002,74.2888888888889,-0.6670841616203399,0.9538461538461539,4,12,28,0.18461538461538463,39,2,9.291660827726117,1.0,27,52,10,36.0,11,12.163589743589744,3.934190358943963,9.918367346938776,0.2153846153846154,0.24615384615384617,0.18461538461538463,0.2153846153846154,0.35384615384615387,1,0.015384615384615385,14,0.2153846153846154,0,0.0,1,0.015384615384615385,0,0.0,0,0.0,2024-09-03,2025-08-27,358,14,12,False,False,False,True,False,False,False,True,False,False,False
111952,1,1,1.0,1.0,1,0.0,152.36666666666667,0.0,152.36666666666667,0.0,1.0,1,1,1,1.0,366,33,0.0,1.0,1,1,1,46.0,1,18.45,0.0,0.12244897959183676,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-10-04,2024-10-04,0,1,1,False,False,False,False,False,False,True,False,True,False,False
111953,22,22,0.7857142857142857,3.0136986301369864,1,5.888888888888889,141.24090909090913,44.79255431883604,185.5277777777778,0.31355553410070175,1.0,3,6,19,0.2727272727272727,206,4,13.063945294843617,1.0,11,28,5,49.0,4,16.38333333333333,3.414049256122753,5.2653061224489806,0.18181818181818182,0.09090909090909091,0.0,0.6818181818181818,0.22727272727272727,0,0.0,4,0.18181818181818182,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-05,2025-03-13,189,15,6,False,False,False,True,False,False,False,False,True,False,False
111957,2,2,1.5555555555555558,1.875,1,0.0,107.73333333333333,10.400000000000006,107.73333333333333,0.0,1.0,2,2,2,1.0,314,83,0.0,2.0,2,1,2,2.0,1,18.266666666666666,1.0,0.20408163265306123,0.5,0.0,0.0,1.0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2024-11-23,2024-11-25,2,2,2,False,False,True,False,False,False,False,False,True,False,False
111970,3,3,2.3333333333333335,2.8125,1,0.0,150.46666666666667,18.98994373248544,150.46666666666667,0.0,1.0,3,3,3,1.0,370,27,0.0,1.0,2,1,1,1.0,3,18.561111111111114,0.5066837229097927,0.24489795918367344,0.6666666666666666,0.0,0.0,1.0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-28,2024-09-30,2,3,3,False,False,True,False,False,False,False,False,True,False,False
111981,46,45,1.0454545454545454,4.169184290030212,2,5.057851239669422,150.9358695652174,70.63251507341722,90.82142857142857,-0.39827803137155654,0.9565217391304348,2,7,21,0.15217391304347827,34,64,9.244391025486685,1.0,23,44,11,39.0,4,16.238043478260867,3.871013085393588,11.673469387755103,0.13043478260869565,0.3695652173913043,0.13043478260869565,0.17391304347826086,0.32608695652173914,1,0.021739130434782608,6,0.13043478260869565,0,0.0,0,0.0,0,0.0,0,0.0,2024-11-04,2025-09-01,301,17,7,False,False,False,False,True,False,False,False,False,True,False
111982,20,20,0.4334365325077399,1.7341040462427746,1,1.0,141.6775,64.42463410731264,88.12142857142855,-0.37801395019372486,1.0,3,7,16,0.35,66,17,24.683705527322207,1.0,14,46,9,109.0,3,15.678333333333336,4.032348709017005,1.2653061224489797,0.25,0.35,0.3,0.2,0.15,0,0.0,5,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-18,2025-07-31,316,4,7,False,False,False,True,False,False,False,False,False,True,False
111984,16,16,0.5833333333333334,2.2325581395348837,1,6.88888888888889,148.06458333333333,65.28596733128755,98.57222222222224,-0.33426198214930597,0.9375,5,6,15,0.375,65,149,20.135099260302198,1.0,8,27,5,75.0,4,13.325,3.4605013284847104,1.0612244897959184,0.125,0.5625,0.375,0.0,0.0625,0,0.0,2,0.125,0,0.0,0,0.0,0,0.0,0,0.0,2025-01-28,2025-08-01,185,10,6,False,False,False,True,False,False,False,False,False,True,False
111985,3,3,1.9090909090909092,2.6470588235294117,1,0.25,486.8777777777778,4.792767184409299,486.8777777777778,0.0,1.0,3,3,3,1.0,368,27,1.0,1.0,2,1,1,3.0,2,15.049999999999999,0.03600411499115438,0.24489795918367344,0.3333333333333333,0.0,0.0,1.0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-28,2024-10-02,4,3,3,False,False,False,True,False,False,False,False,True,False,False
111992,24,24,0.608695652173913,2.408026755852843,1,4.816326530612245,211.65833333333333,174.69420756684352,75.28333333333335,-0.6443167053821016,0.9166666666666666,2,11,16,0.4583333333333333,67,63,18.693023070953267,1.0,13,39,7,63.0,4,12.542361111111111,3.000601711133623,0.816326530612245,0.25,0.16666666666666666,0.3333333333333333,0.2916666666666667,0.20833333333333334,0,0.0,6,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2024-11-03,2025-07-30,269,8,11,False,True,False,False,False,False,False,False,False,False,True
111993,28,28,0.5648414985590778,2.27027027027027,1,4.888888888888888,262.17559523809524,153.94611801416048,169.13717948717948,-0.3548706189316468,0.9642857142857143,5,13,13,0.4642857142857143,45,14,27.607378588662176,1.0,13,49,7,131.0,5,11.660714285714288,4.227532147864105,1.4285714285714286,0.25,0.0,0.4642857142857143,0.21428571428571427,0.32142857142857145,0,0.0,7,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-15,2025-08-21,340,6,13,False,True,False,False,False,False,False,False,False,False,True
111999,52,52,0.9891304347826088,3.989769820971867,1,8.959999999999999,233.09487179487178,169.11761845908947,141.53263888888887,-0.39281101381998457,0.9230769230769231,8,24,30,0.46153846153846156,34,4,15.031787413129736,2.0,29,52,14,99.0,5,15.26698717948718,3.908096857949875,9.10204081632653,0.34615384615384615,0.11538461538461539,0.4423076923076923,0.40384615384615385,0.038461538461538464,1,0.019230769230769232,18,0.34615384615384615,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-05,2025-09-01,361,20,23,False,False,False,False,True,False,False,False,False,False,True
112003,8,8,0.35,1.3114754098360657,1,1.0,133.60208333333333,211.26239944502862,272.0766666666667,1.0364702396731593,0.625,5,5,8,0.625,240,6,44.03384598052656,1.0,4,22,3,129.0,5,16.13125,1.3198652472253876,0.40816326530612246,0.125,0.0,0.0,0.375,0.625,1,0.125,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-07,2025-02-07,153,3,5,False,False,False,False,True,False,False,True,False,False,False
112014,18,18,0.7974683544303797,2.983425414364641,1,5.04,180.54537037037036,151.3401096546944,244.2469696969697,0.3528287609697331,1.0,1,11,18,0.6111111111111112,229,19,12.227655986911639,1.0,11,22,6,47.0,5,11.992592592592592,2.7234873603379253,2.2448979591836733,0.2222222222222222,0.0,0.0,0.3888888888888889,0.6111111111111112,1,0.05555555555555555,4,0.2222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-20,2025-02-18,151,9,11,False,False,False,True,False,False,False,True,False,False,False
112017,88,88,1.8666666666666665,7.478753541076487,1,12.0,173.62897727272727,119.6600716585646,57.66349206349206,-0.6678924625990438,0.7727272727272727,6,21,56,0.23863636363636365,40,36,5.50424715007663,1.0,37,47,8,46.0,5,14.211363636363636,3.4009083618866316,16.53061224489796,0.2159090909090909,0.42045454545454547,0.2159090909090909,0.14772727272727273,0.2159090909090909,0,0.0,19,0.2159090909090909,0,0.0,0,0.0,0,0.0,0,0.0,2024-10-07,2025-08-26,323,14,20,False,False,True,False,False,False,False,False,False,True,False
112018,33,33,0.673469387755102,2.7049180327868854,1,7.583333333333333,112.44292929292928,85.52476604218663,74.36875,-0.3386089239434594,0.9393939393939394,4,16,23,0.48484848484848486,40,23,24.94368657596547,1.0,15,49,4,113.0,3,17.297474747474748,3.8091819804878604,14.204081632653061,0.06060606060606061,0.21212121212121213,0.48484848484848486,0.09090909090909091,0.21212121212121213,0,0.0,2,0.06060606060606061,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-24,2025-08-26,336,3,16,False,False,True,False,False,False,False,False,False,False,True
112019,14,14,1.6896551724137934,5.185185185185185,1,1.0,293.43690476190477,110.78119740083315,293.43690476190477,0.0,1.0,8,14,14,1.0,220,128,8.713045378242535,1.0,4,8,0,34.0,5,15.635714285714284,1.7184440306921012,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,1.0,0,0.0,2,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,2025-01-07,2025-02-27,51,14,14,False,False,True,False,False,False,False,True,False,False,False
112024,52,51,1.0769230769230769,4.321329639889197,2,14.172839506172838,194.31346153846158,107.22335139205566,95.72105263157894,-0.5073884646297018,1.0,5,19,43,0.36538461538461536,39,29,16.72426035061876,1.0,25,48,10,120.0,6,16.642307692307693,1.985983097256973,23.387755102040817,0.038461538461538464,0.4807692307692308,0.34615384615384615,0.019230769230769232,0.15384615384615385,0,0.0,2,0.038461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-30,2025-08-27,331,1,18,False,True,False,False,False,False,False,False,False,True,False
112028,13,13,0.38235294117647056,1.4942528735632186,1,2.138888888888889,312.6051282051282,140.38568643778288,52.61666666666667,-0.8316832901341907,0.9230769230769231,1,1,9,0.07692307692307693,139,29,28.554407132116516,1.0,7,34,2,94.0,4,12.655128205128205,3.7064818749787998,1.2653061224489797,0.38461538461538464,0.07692307692307693,0.0,0.3076923076923077,0.6153846153846154,0,0.0,5,0.38461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-30,2025-05-19,231,4,1,False,False,True,False,False,False,False,True,False,False,False
112034,24,24,0.6774193548387096,2.6568265682656826,1,2.25,355.0652777777778,147.901419786704,224.49166666666665,-0.3677453676358417,0.9166666666666666,1,6,19,0.25,152,6,13.441886401056346,1.0,13,35,7,37.0,4,11.363888888888889,4.1836007735082426,1.673469387755102,0.25,0.08333333333333333,0.0,0.4166666666666667,0.5,0,0.0,6,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-07,2025-05-06,241,10,6,False,True,False,False,False,False,False,True,False,False,False
112035,6,6,0.75,2.278481012658228,1,0.0,96.52777777777779,11.537389567172086,96.52777777777779,0.0,1.0,3,6,6,1.0,47,303,9.703607576566563,9.0,4,8,2,28.0,2,14.730555555555554,3.1170887513753307,0.6938775510204082,0.3333333333333333,0.0,1.0,0.0,0.0,0,0.0,2,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,2025-07-01,2025-08-19,49,6,6,False,False,False,True,False,False,False,False,False,False,True
112036,13,13,0.2692307692307692,1.0803324099722993,1,2.6399999999999997,298.7205128205128,190.23280172653838,93.51666666666667,-0.6869426013510613,1.0,4,6,6,0.46153846153846156,40,28,61.288196706670654,1.0,9,48,7,228.0,4,10.688461538461537,3.7287310495628,1.2653061224489794,0.15384615384615385,0.0,0.46153846153846156,0.5384615384615384,0.0,0,0.0,2,0.15384615384615385,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-29,2025-08-26,331,7,6,False,False,True,False,False,False,False,False,True,False,False
112040,12,12,0.31226765799256506,1.2328767123287672,1,0.5,247.28750000000002,185.73043066809868,46.605555555555554,-0.8115329098496464,0.6666666666666666,1,3,9,0.25,65,72,23.05258093149888,1.0,10,38,8,79.0,2,13.225,4.759505596017145,1.63265306122449,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.0,6,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2024-11-12,2025-08-01,262,4,3,False,False,False,False,False,False,True,False,False,True,False
112041,9,9,0.17647058823529413,0.7105263157894737,1,0.5833333333333334,238.5055555555556,207.3143767384914,48.637499999999996,-0.7960739325895042,0.6666666666666666,3,4,5,0.4444444444444444,36,13,41.778433431616364,1.0,8,51,7,115.0,2,11.737037037037037,3.9959298565391936,1.0612244897959184,0.5555555555555556,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0,0.0,5,0.5555555555555556,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-14,2025-08-30,350,4,4,False,False,False,False,False,True,False,False,False,False,True
112046,87,83,1.7550432276657062,7.0540540540540535,2,18.26446280991735,184.8076628352491,246.4417256664436,63.782777777777774,-0.654869409637855,0.7241379310344828,5,30,50,0.3448275862068966,39,20,6.892710974315271,1.0,34,49,11,38.0,6,11.59329501915709,4.4733134194602995,14.816326530612244,0.20689655172413793,0.22988505747126436,0.3333333333333333,0.1839080459770115,0.25287356321839083,1,0.011494252873563218,18,0.20689655172413793,0,0.0,1,0.011494252873563218,0,0.0,0,0.0,2024-09-21,2025-08-27,340,17,29,False,False,False,True,False,False,False,False,False,False,True
112048,21,20,2.296875,7.241379310344827,2,6.25,59.75238095238095,24.49709100844505,59.75238095238095,0.0,0.5238095238095238,13,21,21,1.0,35,307,3.004579837514723,1.0,9,9,3,10.0,3,11.670634920634921,2.7542314955840803,1.1428571428571428,0.3333333333333333,0.0,1.0,0.0,0.0,0,0.0,7,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,2025-07-05,2025-08-31,57,21,21,False,False,True,False,False,False,False,False,False,False,True
112050,27,26,0.9402985074626865,3.6160714285714284,2,5.84,119.01049382716049,307.32513336146286,81.15777777777778,-0.3180620030394663,0.8888888888888888,8,15,26,0.5555555555555556,41,164,12.229317765834342,1.0,11,28,4,50.0,5,11.880246913580246,4.12496673396497,2.122448979591837,0.2222222222222222,0.37037037037037035,0.5555555555555556,0.0,0.07407407407407407,1,0.037037037037037035,6,0.2222222222222222,0,0.0,1,0.037037037037037035,0,0.0,0,0.0,2025-02-12,2025-08-25,194,12,15,False,False,False,True,False,False,False,False,False,False,True
